Stocks ,Acquisition,Selling price ,sales,data,gender
nescafe original 3 in 1 (instant coffe) (5pcs),345,108,0,25-1,
nestle chuckie (1000 ml) (3pcs),972,324,0,25-1,
nestle boost optimum (800g) (1pcs),800,810,0,25-1,
nutella haelnut (950g) (1pcs),305,305,0,25-1,
bake king all purpose flour (1pc),459,460,0,25-1,
corona (355 ml beer) (1case),720,120,0,25-1,
jack daniel old no.7 tennesse wiskey (2 bottle),599,560,0,25-1,
johnnie walker red label 1L (5 bottles),3455,689,0,25-1,
hardy's cabernet sauvigson (3 bottles),750,250,0,25-1,
ginebra 2/2 (1box),1200,60,300,25-1,1
ginebra 4/4 (2box),2880,120,120,25-1,1
red horse beer (3case),1950,45,270,25-1,1
red horse litro (12case),1080,90,0,25-1,
san miguel light (12bottles),720,59,0,25-1,
rebisco cracker hansel (320 g) (3packs),205,8,0,25-1,
rebico crackers 1 bag ( 220 x 32g ) (8pcs),80,8,0,25-1,
D A party size cracker 500g (3pcs),242,84,0,25-1,
jack N jill magic cracker 28g (6pcs),120,6,90,25-1,1
skyflakes cracker pack 250 g (1packs),66,6,24,25-1,1
tiger energy cracker vanilla (1packs),60,8,0,25-1,
firefly kn95 face mask (1box),320,17,153,25-1,1
greencross isopropyl alcohol(500ml) (5 bottles),441,89.25,0,25-1,
durex love condoms  (3 box),330,17,0,25-1,
durex extra safe condoms (3 box),137,12,0,25-1,
aielai 3 ply disposable face mask 50 pcs ) (5box),650,5,0,25-1,
betadine wound solution 15 ml (3 box),210,70,0,25-1,
